,Ось1,Ось2,Ось3,Ось4,Ось5,Ось6
private2___MISSING__,2.097157532574419,0.004734287316485609,0.0011345306923419788,-0.023619602995688684,0.0211130970231974,-0.01465171501119506
"private2_А ты уверен, что стоит сидеть на этом сайте?",-0.44808635031998617,0.4306421335221804,0.06647228120595274,0.20859606013970522,-0.06796319642227233,-0.06933793079606201
"private2_Не думаю, что стоит заходить на такой сайт",-0.46000272746616805,-0.17716820925438256,-0.015230231847476308,-0.04497041947805235,0.032190114546109025,-0.0031354616322271187
"private2_О, прикольно, пусть все посмотрят этот сайт!",-0.4278060049971551,1.7209638423932136,-0.053610988282311346,-0.04208410546910208,-0.5427452037007785,0.6514909493149552
wall2___MISSING__,2.0551455311394635,0.024709181458166616,0.001512800313543488,-0.03662487392408762,0.02373012165096009,-0.01724253191306626
"wall2_Да ладно тебе, ты думаешь так, другие ребята могут думать иначе.",-0.46777281908254004,-0.15371858107040928,0.07184751526735253,-0.12047102099443349,0.009769820820931105,0.06551604370047555
"wall2_Если тебе что-то не нравится, можешь в спектакле не участвовать и в группе не сидеть!",-0.4408488811695157,0.7660231423450858,0.1616981804633688,0.09191277299184905,-0.05163342382178147,0.07146294434932912
"wall2_Если у тебя есть идеи, в следующий раз сама предложи что-нибудь режиссеру.",-0.4629430973543143,-0.1659498537121661,-0.09361052130230535,0.05575501262356383,0.0007364207400209793,-0.05323422793567036
wall2comment3_1,-0.4494615723868849,0.6651102605013522,0.11851094779218772,0.04358221221531749,0.12015990378639024,0.03806879732433305
wall2comment3_2,-0.46478101645984815,-0.19299897355235918,-0.17399556797815616,0.035166080620942945,0.003902562736999101,-0.05924589489817725
wall2comment3_3,-0.46376774734102455,-0.337727087357142,0.06419467723693488,-0.10459762757575254,-0.06904799682667441,-0.014702252822199667
wall2comment3_4,-0.46350168881168347,-0.22739351058952328,-0.45152885621448535,0.4396833810438876,0.047305575443733976,0.1864760304950765
wall2comment3_5,-0.4642080378589627,-0.10009743343669203,-0.06610096766745766,0.14101101073657074,-0.1532057566364076,0.07135851351941068
wall2comment3___MISSING__,2.0721199294238413,0.015767765254783937,0.00864288838572286,-0.021665322272513922,0.01371942113965774,-0.010378567054213677
wall2comment4_1,-0.441979761882159,1.1765995482911547,0.17279731922008787,0.19486261987537598,-0.04015153914152918,0.17997349802522405
wall2comment4_2,-0.45192722400280505,0.44606428217950134,-0.1933778305626684,0.16557041977764222,0.09287918971486318,-0.1376591787682815
wall2comment4_3,-0.46348473437057847,-0.3495272550346865,0.0901062791790585,-0.06842055528878553,-0.03170542577298016,-0.04327061597222739
wall2comment4_4,-0.472705007926153,-0.6225664116849385,-0.22399985542379622,-0.08057851102875388,0.03459674946200946,0.14142699137069878
wall2comment4_5,-0.4680446927225128,0.09236907254946586,-0.10116864237715563,-0.03586042078393188,-0.0009524747107741753,-0.11464476879952847
wall2comment4___MISSING__,2.06857629512806,0.018069243971044712,0.006163206014097732,-0.025590853931387412,0.014242562972294976,-0.009789543414592825
wall2comment5_1,-0.4638030379572742,-0.05955905530601683,-0.002733738159639536,0.051371796415908874,0.048986256804472966,0.002294968473110273
wall2comment5_2,-0.4519794973893168,0.2725129935203864,-0.30391495974884775,-0.0881291680688921,-0.08649341558381923,0.15194857115860672
